ch_name,co2e_value,co2e_unit,amount,declared_unit,lifecycle_boundary,checked_date_range
"密級配瀝青混凝土(混和料比例1.4％)",9.24E-2,kgCO₂e,1,公斤(kg),搖籃到大門,2015/01/01～2015/12/31
"密級配瀝青混凝土(混和料比例1.9％)",9.68E-2,kgCO₂e,1,公斤(kg),搖籃到大門,2015/01/01～2015/12/31
"多孔隙瀝青混凝土",1.34E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2016/10/01～2017/02/28
"預力鋼腱",2.85E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2015/01/01～2015/12/31
"單結晶矽電池太陽光電模組(60片6吋)",4.18E+2,kgCO₂e,1,片,搖籃到大門,2017/05/01～2018/05/31
"多結晶矽電池太陽光電模組(60片6吋)",3.20E+2,kgCO₂e,1,片,搖籃到大門,2017/05/01～2018/05/31
"車用汽油(於移動源使用，2017)",3.02E+0,kgCO₂e,1,公升(L),搖籃到大門,2017/01/01～2017/12/31
"天然氣(於固定源使用，2017)",2.60E+0,kgCO₂e,1,立方公尺(m3),搖籃到大門,2017/01/01～2017/12/31
"液化石油氣(於固定源使用，2017)",2.25E+0,kgCO₂e,1,公升(L),搖籃到大門,2017/01/01～2017/12/31
"煤油使用(2017)",2.98E+0,kgCO₂e,1,公升(L),搖籃到大門,2017/01/01～2017/12/31
"潤滑油(未燃燒，2017)",1.05E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"臺灣自來水(2017)",2.99E-1,kgCO₂e,1,立方公尺(m3),搖籃到大門,2017/01/01～2017/12/31
"ABS再生塑膠粒",5.70E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"HIPS再生塑膠粒",5.31E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"PP再生塑膠粒",5.24E-1,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"芝麻醬",1.96E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"食用烤酥油",3.75E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"瑪琪琳",3.07E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"凝乳塊(未發酵)",1.24E+1,kgCO₂e,1,公斤(kg),搖籃到大門,2018/01/01～2018/09/30
"蔭油膏",1.01E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"蔭豆豉",1.57E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2017/01/01～2017/12/31
"密級配瀝青混凝土(1”/2)",9.36E-2,kgCO₂e,1,公斤(kg),搖籃到大門,2015/09/17～2016/02/28
"柴油(未燃燒，2016)",7.35E-1,kgCO₂e,1,公升(L),搖籃到大門,2016/01/01～2016/12/31
"柴油(於固定源使用，2016)",3.35E+0,kgCO₂e,1,公升(L),搖籃到大門,2016/01/01～2016/12/31
"環氧氯丙烷(丙烯氯化製程)",6.88E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2016/01/01～2016/12/31
"環氧氯丙烷(醋酸丙烯酯製程)",8.04E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2016/01/01～2016/12/31
"硫化鈉",2.33E+0,kgCO₂e,1,公斤(kg),搖籃到大門,～
"邏輯積體電路",7.32E+2,kgCO₂e,1,公斤(kg),搖籃到大門,～
"柴油(於公路運輸移動源使用，2016)",3.38E+0,kgCO₂e,1,公升(L),搖籃到大門,2016/01/01～2016/12/31
"記憶體積體電路",5.70E+2,kgCO₂e,1,公斤(kg),搖籃到大門,～
"電解電容",1.62E+1,kgCO₂e,1,公斤(kg),搖籃到大門,～
"積層陶瓷電容",3.34E+2,kgCO₂e,1,公斤(kg),搖籃到大門,～
"車用汽油(未燃燒，2016)",6.56E-1,kgCO₂e,1,公升(L),搖籃到大門,2016/01/01～2016/12/31
"貼片電容",1.01E+2,kgCO₂e,1,公斤(kg),搖籃到大門,～
"氯化鈣(索爾維製程)",1.00E+0,kgCO₂e,1,公斤(kg),搖籃到大門,～
